Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
76;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas das Gavetas: Edifício São Luis - Avenida Paulista / Escritura Orlando /  Fazenda Sete Quedas / João Lioz - Odon Pereira / Jundiaí - Dona Antonieta / Kenel Clube / Luiz Murat / Manoel Borges / Palo Verde Canil / Philco / Prohabita / Rubens Franco de Mello / SIGMA /  Trade Center Anhembi / Tabela Vendas Morumbi;-; ;
77;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Caminhos de San Conrado (Antigo - Fotos) / Escritura Jorge Peres (Bertioga) / Crowne Plaza (Diversos) / Fortaleza / Brasilinterpart / Shell Paulínia / USP Análise Água Praia de Pernambuco (1983);-; ;
78;Prado Chaves – Diretoria 8º andar;FIABCI;Diretórios 2002 a 2007 / Operações Interligadas;-; ;
79;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Prix D'Excellence - Trabalhos Antigos - Praia Grande 1997, Centro Têxtil Cyrella, Housing Athenas - Tsingans in Greece, Condomínio dos Anjos -Porto Alegre 2004, Villa de Madrid - 2004,Johns Creek ; 1997 e 2004; ;
80;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas Suspensas: APS Brasília / Apadel / Buldogue Comunicação Estratégica / Búfalos em São Lourenço / Caso Armenio / Caso GHG / Centro Vendas Riviera / Despacho Guarani / Hill and Knowton / Recim / Lote CB - Arq. Valeria/ Quatro C - Arq. Caia/ Vendas Sr. Miguel Coatti - Riviera/  Proposta Wilson Reis / Macro Plano Módulo 6;-; ;
81;Prado Chaves – Diretoria 8º andar;A Hora da Hidrovia;Lorenzo Carrasco - 122 Livros A Hora da Hidrovia;-; ;
82;Prado Chaves – Diretoria 8º andar;A Hora da Hidrovia;Lorenzo Carrasco - 124 Livros A Hora da Hidrovia;-; ;
83;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Reunião Praias - Acaraú / Reunião Paulicentro / Clipping ADS/ Reunião Fazenda / Reunião Concepto Uno;-;;
84;Prado Chaves – Diretoria 8º andar;Lápis Johann Faber;Lápis Johann Faber - Processo 205/98 - Engenheiro Joaquim da Rocha Medeiros Jr. / Processo 202/99 / Recortes de Jornais;-; ;
85;Prado Chaves – Diretoria 8º andar;Fiabci;Habitat Award René Frank 2005 / Jornal Informativo - Press Fiabci - Diversos/ Prix D'Excellence 1995 a 2000;1995 a 2005; ;
86;Prado Chaves – Diretoria 8º andar;A Hora da Hidrovia;34 Livros A Hora da Hidrovia;-; ;
87;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Dr. Luiz Carlos Correspondências Expedidas e Recebidas 2004 a 2006 / Sobloco Correspondências Recebidas Secovi, Manual Graprohab 2006, Balanço Mercado Imobiliário 2006 e Analise Financeira 2007 a 2008;2004 a 2008; ;
88;Prado Chaves – Diretoria 8º andar;Não identificado;Riviera - Diário de Obra;-; ;
89;Prado Chaves – Diretoria 8º andar;Não identificado;Diário de Obra / Atas de Obras até 2007 / Gerenciamento Costeiro;-; ;
90;Prado Chaves – Diretoria 8º andar;Lápis Johann Faber; Correspondências trocadas entre Faber e Sobloco;1987 a 2004;;
;;;;;;
;;;;;;
91;Prado Chaves – Diretoria 8º andar;Faber Castell;Faber Castell - Loteamentos Fechados, São Carlos (Diversos), Caso Áreas 108 mil m2,Caso Susep, Caso Baps, Caso Marca Parque Faber;-; ;
92;Prado Chaves – Diretoria 8º andar;Sobloco;Sobloco Correspondências Recebidas e Expedidas (2006 a 2007) / Cash Flow (até 2008) / Pasta Attilio Piraino, Araraquara (Antigo- 2000);-; ;
93;Prado Chaves – Diretoria 8º andar;Não identificado;Fiabci - Correspondências Recebidas e Expedidas 2008/Dr.Luiz Carlos - Plano de Viagem de 2006 a 2008/ Hotéis Diversos - Catálogos e Folhetos;2006 a 2008; ;
94;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Pastas Suspensas: Capital Center Hotéis - Projeto de Fournier & Associados / Caso Sayeg x Crowne Plaza/ Estudo de Mercado Adviser Consultores 1988 Capital Center Hoteis / Capital Center Hoteis - Diversos / Crowne Plaza - Diversos;-; ;
